230423-104958
RM;1660;-0.31;-0.06;8.03;0.00;0;0;0;0;0;100152.95;28.45;32;0;
RM;1701;-0.14;-0.07;7.87;0.00;0;0;0;0;37;100150.95;28.45;64;0;
RM;1721;0.04;-0.05;7.84;0.00;0;0;0;0;15;100148.80;28.45;64;0;
RM;1741;-0.38;-0.10;7.89;0.00;0;0;0;0;15;100153.70;28.45;95;0;
RM;1761;-0.09;-0.10;7.87;0.00;0;0;0;0;16;100150.32;28.46;95;0;
RM;1781;-0.03;-0.09;7.87;0.00;0;0;0;0;15;100149.55;28.45;127;0;
RM;1801;0.43;-0.03;7.86;0.00;0;0;0;0;16;100144.18;28.46;127;0;
RM;1821;-0.09;-0.04;7.87;0.00;0;0;0;0;15;100150.32;28.46;158;0;
RM;1997;-0.24;-0.06;7.96;0.00;0;0;0;0;174;100152.11;28.49;190;0;
RM;2017;0.48;-0.00;7.96;0.00;0;0;0;0;16;100143.67;28.48;190;0;
RM;2037;0.48;0.06;7.99;0.00;0;0;0;0;15;100143.67;28.48;221;0;
RM;2057;0.54;0.12;7.86;0.00;0;0;0;0;16;100142.91;28.47;221;0;
RM;2077;0.54;0.18;7.86;0.00;0;0;0;0;15;100142.91;28.47;252;0;
RM;2097;0.42;0.22;7.86;0.00;0;0;0;0;16;100144.30;28.47;252;0;
RM;2117;0.87;0.31;7.86;0.00;0;0;0;0;15;100138.91;28.48;283;0;
RM;2137;-0.23;0.22;7.84;0.00;0;0;0;0;16;100151.97;28.48;283;0;
RM;2157;0.59;0.28;7.86;0.00;0;0;0;0;15;100142.29;28.48;315;0;
RM;2333;-0.02;0.23;7.94;0.00;0;0;0;0;173;100149.49;28.50;347;0;
RM;2353;0.39;0.26;7.94;0.00;0;0;0;0;16;100144.73;28.50;347;0;
RM;2373;-0.07;0.21;7.86;0.00;0;0;0;0;15;100150.12;28.49;378;0;
RM;2393;0.38;0.23;7.84;0.00;0;0;0;0;16;100144.88;28.51;378;0;
RM;2413;0.26;0.24;7.84;0.00;0;0;0;0;15;100146.26;28.51;409;0;
RM;2433;0.14;0.23;7.81;0.00;0;0;0;0;15;100147.65;28.51;409;0;
RM;2453;-0.68;0.12;7.84;0.00;0;0;0;0;15;100157.31;28.51;440;0;
RM;2473;0.21;0.14;7.81;0.00;0;0;0;0;15;100146.87;28.51;440;0;
